2025-09-05 19:17:26.332 | INFO     | __main__:main:230 - Jigglypuff knocks out Eevee and wins the battle (508ea1dd)!
2025-09-05 19:17:26.333 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 156 HP left!
2025-09-05 19:17:27.336 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 134 HP left!
2025-09-05 19:17:28.338 | INFO     | __main__:main:208 - Charmander uses Psychic that does 25 damage to Jigglypuff. Jigglypuff has 109 HP left!
2025-09-05 19:17:29.340 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 87 HP left!
2025-09-05 19:17:30.343 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 65 HP left!
2025-09-05 19:17:31.344 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 43 HP left!
2025-09-05 19:17:32.346 | INFO     | __main__:main:208 - Charmander uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 0 HP left!
2025-09-05 19:17:32.347 | INFO     | __main__:main:269 - [METRICS last 60s][Most Damage Given] Eevee with 277
2025-09-05 19:17:33.349 | INFO     | __main__:main:230 - Charmander knocks out Jigglypuff and wins the battle (9e262169)!
2025-09-05 19:17:33.351 | INFO     | __main__:main:208 - Charmander uses Flamethrower that does 40 damage to Gengar. Gengar has 80 HP left!
2025-09-05 19:17:34.352 | INFO     | __main__:main:208 - Charmander uses Psychic that does 17 damage to Gengar. Gengar has 63 HP left!
2025-09-05 19:17:35.355 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 15 damage to Gengar. Gengar has 48 HP left!
2025-09-05 19:17:36.358 | INFO     | __main__:main:208 - Charmander uses Flamethrower that does 40 damage to Gengar. Gengar has 8 HP left!
2025-09-05 19:17:37.361 | INFO     | __main__:main:208 - Charmander uses Flamethrower that does 40 damage to Gengar. Gengar has 0 HP left!
2025-09-05 19:17:38.363 | INFO     | __main__:main:230 - Charmander knocks out Gengar and wins the battle (310efe99)!
2025-09-05 19:17:38.364 | INFO     | __main__:main:208 - Mewtwo uses Thunderbolt that does 18 damage to Jigglypuff. Jigglypuff has 160 HP left!
2025-09-05 19:17:39.367 | INFO     | __main__:main:208 - Mewtwo uses Water Gun that does 30 damage to Jigglypuff. Jigglypuff has 130 HP left!
2025-09-05 19:17:40.369 | INFO     | __main__:main:208 - Mewtwo uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 85 HP left!
2025-09-05 19:17:41.371 | INFO     | __main__:main:208 - Mewtwo uses Flamethrower that does 59 damage to Jigglypuff. Jigglypuff has 26 HP left!
2025-09-05 19:17:42.373 | INFO     | __main__:main:208 - Mewtwo uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 0 HP left!
2025-09-05 19:17:43.376 | INFO     | __main__:main:230 - Mewtwo knocks out Jigglypuff and wins the battle (11628a32)!
2025-09-05 19:17:43.377 | INFO     | __main__:main:208 - Squirtle uses Psychic that does 15 damage to Bulbasaur. Bulbasaur has 90 HP left!
2025-09-05 19:17:44.379 | INFO     | __main__:main:208 - Squirtle uses Body Slam that does 27 damage to Bulbasaur. Bulbasaur has 63 HP left!
2025-09-05 19:17:45.381 | INFO     | __main__:main:208 - Squirtle uses Water Gun that does 18 damage to Bulbasaur. Bulbasaur has 45 HP left!
2025-09-05 19:17:46.384 | INFO     | __main__:main:208 - Squirtle uses Mimic that does 0 damage to Bulbasaur. Bulbasaur has 45 HP left!
2025-09-05 19:17:47.386 | INFO     | __main__:main:208 - Squirtle uses Mimic that does 0 damage to Bulbasaur. Bulbasaur has 45 HP left!
2025-09-05 19:17:47.386 | INFO     | __main__:main:275 - [METRICS last 60s][Most Damage Received] Jigglypuff with 574
2025-09-05 19:17:48.388 | INFO     | __main__:main:208 - Squirtle uses Body Slam that does 27 damage to Bulbasaur. Bulbasaur has 18 HP left!
2025-09-05 19:17:49.390 | INFO     | __main__:main:208 - Squirtle uses Water Gun that does 18 damage to Bulbasaur. Bulbasaur has 0 HP left!
2025-09-05 19:17:50.392 | INFO     | __main__:main:230 - Squirtle knocks out Bulbasaur and wins the battle (dce1df4a)!
2025-09-05 19:17:50.394 | INFO     | __main__:main:208 - Gengar uses Flamethrower that does 35 damage to Squirtle. Squirtle has 69 HP left!
2025-09-05 19:17:51.396 | INFO     | __main__:main:208 - Gengar uses Flamethrower that does 35 damage to Squirtle. Squirtle has 34 HP left!
2025-09-05 19:17:52.399 | INFO     | __main__:main:208 - Gengar uses Psychic that does 15 damage to Squirtle. Squirtle has 19 HP left!
2025-09-05 19:17:53.402 | INFO     | __main__:main:208 - Gengar uses Psychic that does 15 damage to Squirtle. Squirtle has 4 HP left!
2025-09-05 19:17:54.404 | INFO     | __main__:main:208 - Gengar uses Psychic that does 15 damage to Squirtle. Squirtle has 0 HP left!
2025-09-05 19:17:55.406 | INFO     | __main__:main:230 - Gengar knocks out Squirtle and wins the battle (675e2a6d)!
